PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE,Order ID
Summit Climbing Helmet,2024-02-16,"Packaging was damaged, though the product survived.",-0.686785,3643
Racing Edge Skis,2024-02-17,Did not fit as described; sizing seems inconsistent.,-0.791682,3633
IceGrip Poles,2024-02-18,"Build quality is excellent, but the color fades quickly.",0.578743,3461
UltraLite Jacket,2024-02-19,The zipper broke after a week of use; disappointing.,0.735506,3972
WindGuard Shell Jacket,2024-02-20,"Packaging was damaged, though the product survived.",0.306069,3430
SnowRunner Boots,2024-02-21,The zipper broke after a week of use; disappointing.,-0.872194,3602
WindGuard Shell Jacket,2024-02-22,Did not fit as described; sizing seems inconsistent.,0.948186,3812
ThermoShield Gloves,2024-02-23,The zipper broke after a week of use; disappointing.,-0.59052,3804
Racing Edge Skis,2024-02-24,Very comfortable and lightweight — ideal for long hikes.,-0.249405,3437
UltraLite Jacket,2024-02-25,Performs well in wet conditions; recommended for mountain trips.,-0.544776,3191
UltraLite Jacket,2024-02-26,Performs well in wet conditions; recommended for mountain trips.,-0.701396,3702
UltraLite Jacket,2024-02-27,Exceeded expectations; kept me warm in freezing winds.,0.964688,3209
UltraLite Jacket,2024-02-28,Exceeded expectations; kept me warm in freezing winds.,0.561704,3740
IceGrip Poles,2024-02-29,"Delivery was fast, but the material feels slightly cheap.",0.331282,3646
IceGrip Poles,2024-03-01,Surprisingly high quality for the price — held up well in rough terrain.,0.187953,3915
ThermoActive Base Layer,2024-03-02,Surprisingly high quality for the price — held up well in rough terrain.,0.464714,3737
Alpine Pro Skis,2024-03-03,"Build quality is excellent, but the color fades quickly.",-0.794523,3086
AllWeather Pants,2024-03-04,"Build quality is excellent, but the color fades quickly.",0.327936,3856
IceGrip Poles,2024-03-05,"Packaging was damaged, though the product survived.",-0.370441,3353
Racing Edge Skis,2024-03-06,"Build quality is excellent, but the color fades quickly.",-0.731937,3225
SnowRunner Boots,2024-03-07,The zipper broke after a week of use; disappointing.,0.008339,3197
ThermoActive Base Layer,2024-03-08,Exceeded expectations; kept me warm in freezing winds.,-0.08639,3550
UltraLite Jacket,2024-03-09,Surprisingly high quality for the price — held up well in rough terrain.,-0.137116,3245
UltraLite Jacket,2024-03-10,"Build quality is excellent, but the color fades quickly.",-0.640235,3089
Summit Climbing Helmet,2024-03-11,Solid performance during ski practice; worth the investment.,0.221601,3203
UltraLite Jacket,2024-03-12,"Build quality is excellent, but the color fades quickly.",-0.535155,3685
Alpine Pro Skis,2024-03-13,Very comfortable and lightweight — ideal for long hikes.,0.416609,3495
ThermoActive Base Layer,2024-03-14,Surprisingly high quality for the price — held up well in rough terrain.,0.641161,3851
UltraLite Jacket,2024-03-15,"Build quality is excellent, but the color fades quickly.",0.224807,3630
SnowRunner Boots,2024-03-16,Surprisingly high quality for the price — held up well in rough terrain.,-0.965248,3894
ThermoActive Base Layer,2024-03-17,Surprisingly high quality for the price — held up well in rough terrain.,0.180565,3980
UltraLite Jacket,2024-03-18,"Build quality is excellent, but the color fades quickly.",-0.105045,3372
IceGrip Poles,2024-03-19,"Packaging was damaged, though the product survived.",0.675537,3041
ThermoActive Base Layer,2024-03-20,"Delivery was fast, but the material feels slightly cheap.",0.23225,3201
AllWeather Pants,2024-03-21,"Delivery was fast, but the material feels slightly cheap.",0.4258,3816
ThermoShield Gloves,2024-03-22,Did not fit as described; sizing seems inconsistent.,0.752166,3690
IceGrip Poles,2024-03-23,"Build quality is excellent, but the color fades quickly.",0.904383,3585
IceGrip Poles,2024-03-24,Surprisingly high quality for the price — held up well in rough terrain.,0.560177,3848
UltraLite Jacket,2024-03-25,Performs well in wet conditions; recommended for mountain trips.,-0.052183,3659
Alpine Pro Skis,2024-03-26,"Delivery was fast, but the material feels slightly cheap.",-0.343144,3733
Alpine Pro Skis,2024-03-27,Did not fit as described; sizing seems inconsistent.,0.073563,3098
Racing Edge Skis,2024-03-28,Exceeded expectations; kept me warm in freezing winds.,-0.447944,3871
ThermoShield Gloves,2024-03-29,Very comfortable and lightweight — ideal for long hikes.,0.118229,3004
WindGuard Shell Jacket,2024-03-30,Surprisingly high quality for the price — held up well in rough terrain.,0.008717,3372
UltraLite Jacket,2024-03-31,Solid performance during ski practice; worth the investment.,0.001139,3888
Alpine Pro Skis,2024-04-01,"Build quality is excellent, but the color fades quickly.",-0.361731,3058
UltraLite Jacket,2024-04-02,Did not fit as described; sizing seems inconsistent.,0.66835,3205
AllWeather Pants,2024-04-03,Very comfortable and lightweight — ideal for long hikes.,-0.749238,3104
UltraLite Jacket,2024-04-04,Solid performance during ski practice; worth the investment.,0.418881,3343
AllWeather Pants,2024-04-05,"Build quality is excellent, but the color fades quickly.",-0.854837,3284
Summit Climbing Helmet,2024-04-06,"Build quality is excellent, but the color fades quickly.",0.128632,3256
Alpine Pro Skis,2024-04-07,Solid performance during ski practice; worth the investment.,0.175076,3962
SnowRunner Boots,2024-04-08,"Delivery was fast, but the material feels slightly cheap.",0.603173,3923
Alpine Pro Skis,2024-04-09,Solid performance during ski practice; worth the investment.,0.269515,3830
